sample_index	block_number	block_hash	historical_witness	estimate_gas	candidate_gas_limit	block_gas_limit
1	21503315	0xbe05ec8dcd23d686e2332277ae799443e5bb0c765ec2b61c1d3b818dc034de28	YES	40405446	80825672	100000000
2	21521401	0x4dda987fa64cc792bed69ca6323df4c4edcf6a397eebb26bf107c3199a141990	NO	40390666	80825672	100000000
3	21521399	0x263b56d20d4a856a57017fc3cedc07339a6bf7d8af05603819d1cfbc74c3420d	NO	40390666	80825672	100000000
4	21521397	0x1186747c8bf5ac538e91e65bd02b155cfe990a1020d2f5273f05f1589c346a35	NO	40398056	80825672	100000000
5	21521395	0x87a51e2b5ce5c387bfab1e2e645f8c7be1c8f8c2077721ceb3478a4438a8633f	NO	40390666	80825672	100000000
6	21521393	0x19f156a6faa4279bd9a53e0f685beb9549253183993c7326f19ec30b1b35096d	NO	40390666	80825672	100000000
7	21521391	0x6c5509fbde8b1c0e1e1857820cfd04518bb7bbf4717f1caa895d457b91033c72	NO	40399589	80825672	100000000
8	21521389	0x8036b9d77dc3772b8275d3df8e04de4342811cba18a89c519ac05ed33d0a0ca7	NO	40390666	80825672	100000000
9	21521387	0x5ea75bb121119920caf528bd7f3d361129d8ddd55354f38430a4d086b916ba3f	NO	40390666	80825672	100000000
10	21521385	0xcd20c58a7f94ce8f59304a9d2777ed8afd2730f77839686dbe8504e4eb435696	NO	40398056	80825672	100000000
11	21521383	0x59a821a0181fbfcf9cf2d5f735a0b51ee6ade451d14fcdc5b1b58ba638614537	NO	40390666	80825672	100000000
12	21521381	0x3e87d2f8487976f1ee48b9a9e66bc04bbe520ef0233dfa35d5a89852bb7c03e4	NO	40390666	80825672	100000000
13	21521379	0x38d0da8fee5aa5263e55fffc2db34f2d998684024c1848e724c57bfa49bb6b1c	NO	40412836	80825672	100000000
14	21521377	0x2482e90cc3c9baa1c9f5836410c6ec8bf3e47c2d1d50f6a2c40564cc6fa9c700	NO	40390666	80825672	100000000
15	21521375	0xaf1f0b68ec71cea909ccb8dd74f1e756093535fb917550c48f28e3169a49d30b	NO	40390666	80825672	100000000
16	21521373	0xe32d64deeb532a64d5a986c1cacb39876c2bba4ab9d3e79389200bb769a155b0	NO	40398056	80825672	100000000
17	21521371	0xa6263733d7e7e0b1a4f9c34cc7826e294c20143218a9577bf35cc4454841d9f3	NO	40390666	80825672	100000000
18	21521369	0xe234204d158c5ca5f017096104c23707b0b3f1ac2bbfbe0a038dd87afcbb4a07	NO	40390666	80825672	100000000
19	21521367	0xf14f7e25a455581cfbb7e556a137a1e1e3e5392afa45f91a725a9649c9a61f6d	NO	40390666	80825672	100000000
20	21521365	0x9267014078cb70123c833d6f7b3cfc35a92a4498c00ab6cced343ac27a4ddc24	NO	40390666	80825672	100000000
21	21521363	0xe3023f9f5ce74c8e9366c00c3eb0895e03fcf38b2e90d96f5cf601ad6e54fe1b	NO	40390666	80825672	100000000
22	21521361	0xb5047a4b3f1d606fa4f9ff7013bbad95f016de6ef7afc69962b526dbeaafe81e	NO	40398056	80825672	100000000
23	21521359	0x6ec5fdf298a6c9fce7b8eb9ac8fc180074614749e8bd1f7ed64f868d058557b3	NO	40390666	80825672	100000000
24	21521357	0x6a9f7554f103556d9e5cd77e4814202e130939a858ea619f1d1785c0833332de	NO	40398056	80825672	100000000
25	21521355	0xd848645e298dea7203f004515baa324a2a2e24a06d7b605afb440558846eab94	NO	40398056	80825672	100000000
